"";"n";"species";"GFP_pos";"GFP_Ki67_pos";"perc_prolif";"Trnp1"
"1";1;"GFP";200;65;0,325;"no"
"2";1;"human";221;134;0,606334841628959;"yes"
"3";1;"mouse";213;97;0,455399061032864;"yes"
"4";2;"GFP";191;50;0,261780104712042;"no"
"5";2;"human";187;101;0,540106951871658;"yes"
"6";2;"mouse";196;90;0,459183673469388;"yes"
"7";3;"GFP";152;33;0,217105263157895;"no"
"8";3;"human";110;31;0,281818181818182;"yes"
"9";3;"mouse";131;51;0,389312977099237;"yes"
"10";4;"GFP";105;32;0,304761904761905;"no"
"11";4;"human";90;41;0,455555555555556;"yes"
"12";4;"mouse";105;34;0,323809523809524;"yes"
"13";5;"GFP";189;39;0,206349206349206;"no"
"14";5;"human";186;75;0,403225806451613;"yes"
"15";5;"mouse";140;62;0,442857142857143;"yes"
"16";6;"dolphin";192;144;0,75;"yes"
"17";6;"galago";157;94;0,598726114649682;"yes"
"18";6;"GFP";294;90;0,306122448979592;"no"
"19";6;"human";219;152;0,694063926940639;"yes"
"20";6;"macaque";215;88;0,409302325581395;"yes"
"21";6;"mouse";174;90;0,517241379310345;"yes"
"22";7;"dolphin";86;67;0,779069767441861;"yes"
"23";7;"galago";112;66;0,589285714285714;"yes"
"24";7;"GFP";230;73;0,317391304347826;"no"
"25";7;"human";194;110;0,56701030927835;"yes"
"26";7;"macaque";56;21;0,375;"yes"
"27";7;"mouse";147;82;0,557823129251701;"yes"
"28";8;"dolphin";134;99;0,738805970149254;"yes"
"29";8;"galago";124;75;0,604838709677419;"yes"
"30";8;"GFP";222;113;0,509009009009009;"no"
"31";8;"human";125;96;0,768;"yes"
"32";8;"macaque";124;73;0,588709677419355;"yes"
"33";8;"mouse";83;61;0,734939759036145;"yes"
"34";9;"dolphin";121;92;0,760330578512397;"yes"
"35";9;"galago";89;56;0,629213483146067;"yes"
"36";9;"GFP";133;82;0,616541353383459;"no"
"37";9;"human";67;59;0,880597014925373;"yes"
"38";9;"macaque";140;118;0,842857142857143;"yes"
"39";9;"mouse";99;81;0,818181818181818;"yes"
"40";10;"dolphin";217;173;0,797235023041475;"yes"
"41";10;"galago";226;166;0,734513274336283;"yes"
"42";10;"GFP";246;154;0,626016260162602;"no"
"43";10;"human";161;123;0,763975155279503;"yes"
"44";10;"macaque";174;118;0,67816091954023;"yes"
"45";10;"mouse";231;173;0,748917748917749;"yes"
"46";11;"dolphin";114;52;0,456140350877193;"yes"
"47";11;"galago";185;59;0,318918918918919;"yes"
"48";11;"GFP";192;51;0,265625;"no"
"49";11;"human";127;42;0,330708661417323;"yes"
"50";11;"macaque";178;73;0,410112359550562;"yes"
"51";11;"mouse";146;56;0,383561643835616;"yes"
"52";12;"dolphin";192;77;0,401041666666667;"yes"
"53";12;"galago";191;58;0,303664921465969;"yes"
"54";12;"GFP";219;69;0,315068493150685;"no"
"55";12;"human";163;42;0,257668711656442;"yes"
"56";12;"macaque";216;72;0,333333333333333;"yes"
"57";12;"mouse";140;53;0,378571428571429;"yes"
